Rank,Restaurant,Sales,Average Check,City,State,Meals Served,Year
88,Farmers Fishers Bakers,12572109,37,Washington,D.C.,371025,2020
89,Southern Steak & Oyster,12566618,39,Nashville,Tenn.,337920,2020
90,Big Texan Steak Ranch,12505200,24,Amarillo,Texas,478000,2020
91,"Park Avenue Summer (Autumn, Winter, Spring)",12498000,84,New York,N.Y.,164531,2020
92,Farmers & Distillers,12278839,36,Washington,D.C.,375309,2020
93,Virgil's Real Barbecue,12245998,31,New York,N.Y.,251800,2020
94,"Carmine's (Washington, D.C.)",12228168,39,Washington,D.C.,148135,2020
95,Franciscan Crab Restaurant,12218147,59,San Francisco,Calif.,240000,2020
96,George's at the Cove,12194000,80,La Jolla,Calif.,250000,2020
97,Le Coucou,12187523,95,New York,N.Y.,87070,2020
98,Mi Vida,12032014,38,Washington,D.C.,226226,2020
99,Upland,11965564,52,New York,N.Y.,171825,2020
100,Virgil's Real Barbecue,11391678,27,Las Vegas,Nev.,208276,2020
